budget,revenue,original_title,vote_average,release_year
150000000,1513528810,Jurassic World,6.5,2015
150000000,378436354,Mad Max: Fury Road,7.1,2015
110000000,295238201,Insurgent,6.3,2015
200000000,2068178225,Star Wars: The Force Awakens,7.5,2015
190000000,1506249360,Furious 7,7.3,2015
135000000,532950503,The Revenant,7.2,2015
155000000,440603537,Terminator Genisys,5.8,2015
108000000,595380321,The Martian,7.6,2015
74000000,1156730962,Minions,6.5,2015
175000000,853708609,Inside Out,8,2015
245000000,880674609,Spectre,6.2,2015
176000003,183987723,Jupiter Ascending,5.2,2015
15000000,36869414,Ex Machina,7.6,2015
88000000,243637091,Pixels,5.8,2015
280000000,1405035767,Avengers: Age of Ultron,7.4,2015
44000000,155760117,The Hateful Eight,7.4,2015
48000000,325771424,Taken 3,6.1,2015
130000000,518602163,Ant-Man,7,2015
95000000,542351353,Cinderella,6.8,2015
160000000,650523427,The Hunger Games: Mockingjay - Part 2,6.5,2015
190000000,209035668,Tomorrowland,6.2,2015
30000000,91709827,Southpaw,7.3,2015
110000000,470490832,San Andreas,6.1,2015
40000000,569651467,Fifty Shades of Grey,5.3,2015
28000000,133346506,The Big Short,7.3,2015
150000000,682330139,Mission: Impossible - Rogue Nation,7.1,2015
68000000,215863606,Ted 2,6.3,2015
81000000,403802136,Kingsman: The Secret Service,7.6,2015
20000000,88346473,Spotlight,7.8,2015
61000000,311256926,Maze Runner: The Scorch Trials,6.4,2015
49000000,102069268,Chappie,6.6,2015
29000000,287506194,Pitch Perfect 2,6.8,2015
40000000,162610473,Bridge of Spies,7.1,2015
58000000,150170815,Goosebumps,6.2,2015
6000000,35401758,Room,8,2015
175000000,331926147,The Good Dinosaur,6.6,2015
50000000,71561644,Run All Night,6.3,2015
11000000,62076141,Brooklyn,7.3,2015
28000000,201634991,Straight Outta Compton,7.7,2015
90000000,140396650,The Last Witch Hunter,5.6,2015
30000000,34441873,Steve Jobs,6.9,2015
75000000,108145109,The Man from U.N.C.L.E.,7,2015
25000000,42629776,The Age of Adaline,7.3,2015
10000000,14333790,Hardcore Henry,5.9,2015
135000000,368871007,Home,6.9,2015
12000000,85512300,Paper Towns,6.2,2015
4000000,9064511,The Lobster,6.6,2015
11800000,40272135,Carol,7.1,2015
35000000,194564672,The Intern,7.1,2015
55000000,203427584,Everest,6.7,2015
60000000,101134059,Joy,6.4,2015
105000000,133718711,Point Break,5.5,2015
20000000,36606743,Burnt,6.3,2015
26000000,30523226,Self/less,6.2,2015
60000000,30418560,Mortdecai,5.3,2015
15000000,64191523,The Danish Girl,7.3,2015
70000000,17752940,Blackhat,5,2015
30000000,84025816,Sicario,7.1,2015
120000001,167977596,Fantastic Four,4.4,2015
3500000,40423945,The Witch,5.8,2015
65000000,235666219,Spy,6.9,2015
50100000,153962963,Focus,6.7,2015
35000000,82347656,Hitman: Agent 47,5.5,2015
100000000,93820758,In the Heart of the Sea,6.4,2015
35000000,137935567,Creed,7.3,2015
35000000,140795793,Trainwreck,6.1,2015
13000000,32848185,Eye in the Sky,7.2,2015
25000000,42972994,Legend,6.7,2015
150000000,128388320,Pan,5.9,2015
99000000,246233113,The Peanuts Movie,6.4,2015
35000000,48623572,Concussion,6.9,2015
25000000,52395996,The Night Before,6.1,2015
2500000,5214043,Knock Knock,4.8,2015
34000000,63013281,The Longest Ride,7.3,2015
80000000,466183544,Hotel Transylvania 2,6.8,2015
17000000,24000000,Love the Coopers,5.3,2015
35000000,61181942,The Walk,6.8,2015
11000000,1863315,Tracers,5.9,2015
31000000,104384188,Vacation,6.1,2015
35000000,95437994,Poltergeist,5,2015
4000000,187112,Maggie,5.1,2015
50000000,3324330,Child 44,5.9,2015
5000000,58978653,The Gift,6.6,2015
50000000,240360392,Daddy's Home,5.7,2015
64000000,97571250,The Little Prince,7.5,2015
11930000,18340000,The Dressmaker,6.9,2015
8500000,43528634,The DUFF,6.8,2015
10000000,52882018,Sinister 2,5.5,2015
30000000,107597242,Paul Blart: Mall Cop 2,5.3,2015
4000000,50163103,The Boy Next Door,3.9,2015
30000000,49263404,Entourage,6.2,2015
23000000,79799880,The Wedding Ringer,6.5,2015
15000000,14860766,Scouts Guide to the Zombie Apocalypse,6.2,2015
5000000,98450062,The Visit,5.9,2015
53000000,99775678,Black Mass,6.3,2015
8900000,50136,Heist,5.4,2015
15000000,61548707,Krampus,5.9,2015
20000000,208588,Dark Places,5.7,2015
5000000,54418872,No Escape,6.7,2015
700000,17986781,Dope,7.3,2015
28000000,28208085,American Ultra,5.9,2015
11000000,61619773,Woman in Gold,7.3,2015
30000000,105011053,Sisters,5.9,2015
12000000,32248241,Project Almanac,6.3,2015
25000000,72629670,The Transporter Refueled,5.3,2015
55000000,74679822,Crimson Peak,6.4,2015
